2026-04-21 12:38:42,629 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:42,629 | WARNING | aiogram.dispatcher | Sleep for 4.906121 seconds and try again... (tryings = 32, bot id = 8514921407)
2026-04-21 12:38:47,550 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:47,551 | WARNING | aiogram.dispatcher | Sleep for 5.169284 seconds and try again... (tryings = 33, bot id = 8514921407)
2026-04-21 12:38:52,744 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:52,744 | WARNING | aiogram.dispatcher | Sleep for 4.853415 seconds and try again... (tryings = 33, bot id = 8514921407)
2026-04-21 12:38:57,611 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:57,612 | WARNING | aiogram.dispatcher | Sleep for 4.788366 seconds and try again... (tryings = 34, bot id = 8514921407)
2026-04-21 12:39:02,420 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:39:02,420 | WARNING | aiogram.dispatcher | Sleep for 5.051415 seconds and try again... (tryings = 34, bot id = 8514921407)
2026-04-21 12:39:07,488 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:39:07,489 | WARNING | aiogram.dispatcher | Sleep for 5.208531 seconds and try again... (tryings = 35, bot id = 8514921407)
2026-04-21 12:39:12,726 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:39:12,726 | WARNING | aiogram.dispatcher | Sleep for 5.084307 seconds and try again... (tryings = 35, bot id = 8514921407)
2026-04-21 12:39:17,826 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:39:17,826 | WARNING | aiogram.dispatcher | Sleep for 5.018556 seconds and try again... (tryings = 36, bot id = 8514921407)
2026-04-21 12:39:22,868 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
